user_id,stage,event_date
U103207,Visit Landing Page,2025-01-01
U103207,Sign Up,2025-01-02
U103207,Verify Email,2025-01-04
U103207,Complete Onboarding,2025-01-05
U103207,Create First Workflow,2025-01-02
U103207,Invite Teammate,2025-01-01
U103207,Start Trial,2025-01-03
U103207,Subscribe,2025-01-04
U103179,Visit Landing Page,2025-01-02
U103179,Sign Up,2025-01-02
U103179,Verify Email,2025-01-03
U103151,Visit Landing Page,2025-01-02
U103151,Sign Up,2025-01-01
U103151,Verify Email,2025-01-02
U103151,Complete Onboarding,2025-01-01
U103151,Create First Workflow,2025-01-02
U107766,Visit Landing Page,2025-01-02
U107766,Sign Up,2025-01-01
U106159,Visit Landing Page,2025-01-01
U106159,Sign Up,2025-01-03
U100998,Visit Landing Page,2025-01-01
U100998,Sign Up,2025-01-01
U100998,Verify Email,2025-01-02
U102880,Visit Landing Page,2025-01-02
U102880,Sign Up,2025-01-03
U102880,Verify Email,2025-01-04
U102880,Complete Onboarding,2025-01-03
U102880,Create First Workflow,2025-01-02
U102880,Invite Teammate,2025-01-04
U107636,Visit Landing Page,2025-01-01
U107636,Sign Up,2025-01-01
U107636,Verify Email,2025-01-03
U107636,Complete Onboarding,2025-01-03
U107636,Create First Workflow,2025-01-01
U107636,Invite Teammate,2025-01-07
U103453,Visit Landing Page,2025-01-02
U103453,Sign Up,2025-01-01
U103453,Verify Email,2025-01-04
U103453,Complete Onboarding,2025-01-01
U103453,Create First Workflow,2025-01-01
U103453,Invite Teammate,2025-01-04
U104553,Visit Landing Page,2025-01-02
U104553,Sign Up,2025-01-03
U104553,Verify Email,2025-01-02
U104553,Complete Onboarding,2025-01-02
U104553,Create First Workflow,2025-01-05
U104553,Invite Teammate,2025-01-05
U104553,Start Trial,2025-01-03
U104553,Subscribe,2025-01-02
U102585,Visit Landing Page,2025-01-02
U102585,Sign Up,2025-01-03
U102585,Verify Email,2025-01-03
U102585,Complete Onboarding,2025-01-04
U102585,Create First Workflow,2025-01-05
U107009,Visit Landing Page,2025-01-02
U107009,Sign Up,2025-01-03
U105156,Visit Landing Page,2025-01-01
U105156,Sign Up,2025-01-03
U105156,Verify Email,2025-01-01
U105156,Complete Onboarding,2025-01-04
U105156,Create First Workflow,2025-01-03
U105156,Invite Teammate,2025-01-01
U101314,Visit Landing Page,2025-01-02
U101314,Sign Up,2025-01-03
U101314,Verify Email,2025-01-02
U105178,Visit Landing Page,2025-01-02
U105178,Sign Up,2025-01-01
U105178,Verify Email,2025-01-04
U105183,Visit Landing Page,2025-01-02
U105183,Sign Up,2025-01-01
U105183,Verify Email,2025-01-02
U105228,Visit Landing Page,2025-01-02
U105228,Sign Up,2025-01-01
U105228,Verify Email,2025-01-03
U105228,Complete Onboarding,2025-01-01
U105228,Create First Workflow,2025-01-01
U105228,Invite Teammate,2025-01-05
U105228,Start Trial,2025-01-08
U105228,Subscribe,2025-01-08
U106623,Visit Landing Page,2025-01-01
U106623,Sign Up,2025-01-01
U106623,Verify Email,2025-01-04
U106623,Complete Onboarding,2025-01-03
U107031,Visit Landing Page,2025-01-01
U107031,Sign Up,2025-01-03
U107031,Verify Email,2025-01-01
U107031,Complete Onboarding,2025-01-01
U107031,Create First Workflow,2025-01-04
U107031,Invite Teammate,2025-01-01
U107031,Start Trial,2025-01-02
U107031,Subscribe,2025-01-06
U106587,Visit Landing Page,2025-01-02
U106587,Sign Up,2025-01-01
U106587,Verify Email,2025-01-04
U106587,Complete Onboarding,2025-01-05
U106587,Create First Workflow,2025-01-05
U106587,Invite Teammate,2025-01-01
U106587,Start Trial,2025-01-06
U106587,Subscribe,2025-01-07
U108015,Visit Landing Page,2025-01-02
U108015,Sign Up,2025-01-01
U108015,Verify Email,2025-01-03
U108015,Complete Onboarding,2025-01-03
U101617,Visit Landing Page,2025-01-02
U101617,Sign Up,2025-01-03
U101617,Verify Email,2025-01-04
U101617,Complete Onboarding,2025-01-04
U101617,Create First Workflow,2025-01-02
U101617,Invite Teammate,2025-01-04
U108035,Visit Landing Page,2025-01-01
U108035,Sign Up,2025-01-01
U108035,Verify Email,2025-01-03
U108035,Complete Onboarding,2025-01-03
U107929,Visit Landing Page,2025-01-01
U107929,Sign Up,2025-01-02
U101837,Visit Landing Page,2025-01-02
U101837,Sign Up,2025-01-02
U104773,Visit Landing Page,2025-01-02
U104773,Sign Up,2025-01-02
U104773,Verify Email,2025-01-04
U104773,Complete Onboarding,2025-01-03
U104773,Create First Workflow,2025-01-02
U104773,Invite Teammate,2025-01-05
U104773,Start Trial,2025-01-05
U105482,Visit Landing Page,2025-01-01
U105482,Sign Up,2025-01-03
U105482,Verify Email,2025-01-04
U105482,Complete Onboarding,2025-01-05
U104642,Visit Landing Page,2025-01-02
U104642,Sign Up,2025-01-02
U104642,Verify Email,2025-01-02
U104642,Complete Onboarding,2025-01-04
U105424,Visit Landing Page,2025-01-03
U105424,Sign Up,2025-01-04
U103038,Visit Landing Page,2025-01-02
U103038,Sign Up,2025-01-03
U103038,Verify Email,2025-01-03
U103038,Complete Onboarding,2025-01-05
U103038,Create First Workflow,2025-01-07
U103038,Invite Teammate,2025-01-05
U103038,Start Trial,2025-01-08
U103038,Subscribe,2025-01-02
U106128,Visit Landing Page,2025-01-03
U106128,Sign Up,2025-01-03
U106128,Verify Email,2025-01-05
U107575,Visit Landing Page,2025-01-03
U107575,Sign Up,2025-01-04
U107575,Verify Email,2025-01-03
U107575,Complete Onboarding,2025-01-02
U102922,Visit Landing Page,2025-01-02
U102922,Sign Up,2025-01-03
U102922,Verify Email,2025-01-05
U106989,Visit Landing Page,2025-01-03
U106989,Sign Up,2025-01-04
U106989,Verify Email,2025-01-03
U106989,Complete Onboarding,2025-01-06
U106989,Create First Workflow,2025-01-07
U106989,Invite Teammate,2025-01-06
U106989,Start Trial,2025-01-06
U105451,Visit Landing Page,2025-01-02
U105451,Sign Up,2025-01-02
U105451,Verify Email,2025-01-04
U105594,Visit Landing Page,2025-01-02
U105594,Sign Up,2025-01-02
U105594,Verify Email,2025-01-05
U107550,Visit Landing Page,2025-01-03
U107550,Sign Up,2025-01-04
U107550,Verify Email,2025-01-03
U107550,Complete Onboarding,2025-01-02
U107550,Create First Workflow,2025-01-05
U107550,Invite Teammate,2025-01-05
U106744,Visit Landing Page,2025-01-03
U106744,Sign Up,2025-01-03
U106744,Verify Email,2025-01-05
U106744,Complete Onboarding,2025-01-05
U106744,Create First Workflow,2025-01-06
U107176,Visit Landing Page,2025-01-02
U107176,Sign Up,2025-01-02
U107176,Verify Email,2025-01-04
U107176,Complete Onboarding,2025-01-03
U107176,Create First Workflow,2025-01-05
U107122,Visit Landing Page,2025-01-02
U107122,Sign Up,2025-01-03
U107122,Verify Email,2025-01-02
U107122,Complete Onboarding,2025-01-02
U100595,Visit Landing Page,2025-01-03
U100595,Sign Up,2025-01-02
U100595,Verify Email,2025-01-05
U108431,Visit Landing Page,2025-01-03
U108431,Sign Up,2025-01-02
U108431,Verify Email,2025-01-02
U108431,Complete Onboarding,2025-01-02
U108431,Create First Workflow,2025-01-02
U107203,Visit Landing Page,2025-01-03
U107203,Sign Up,2025-01-02
U107203,Verify Email,2025-01-03
U104281,Visit Landing Page,2025-01-02
U104281,Sign Up,2025-01-03
U104281,Verify Email,2025-01-05
U104281,Complete Onboarding,2025-01-03
U104281,Create First Workflow,2025-01-02
U104281,Invite Teammate,2025-01-02
U104281,Start Trial,2025-01-09
U104775,Visit Landing Page,2025-01-02
U104775,Sign Up,2025-01-03
U104775,Verify Email,2025-01-04
U104775,Complete Onboarding,2025-01-02
U104775,Create First Workflow,2025-01-04
U104775,Invite Teammate,2025-01-06
U108294,Visit Landing Page,2025-01-03
U108294,Sign Up,2025-01-03
U108294,Verify Email,2025-01-05
U108294,Complete Onboarding,2025-01-03
U108294,Create First Workflow,2025-01-05
U108294,Invite Teammate,2025-01-04
U108294,Start Trial,2025-01-06
U104966,Visit Landing Page,2025-01-03
U104966,Sign Up,2025-01-02
U104156,Visit Landing Page,2025-01-03
U104156,Sign Up,2025-01-04
U104156,Verify Email,2025-01-02
U105922,Visit Landing Page,2025-01-03
U105922,Sign Up,2025-01-03
U105922,Verify Email,2025-01-04
U105922,Complete Onboarding,2025-01-02
U105922,Create First Workflow,2025-01-07
U105922,Invite Teammate,2025-01-03
U104991,Visit Landing Page,2025-01-03
U104991,Sign Up,2025-01-02
U105031,Visit Landing Page,2025-01-02
U105031,Sign Up,2025-01-04
U105031,Verify Email,2025-01-02
U100766,Visit Landing Page,2025-01-03
U100766,Sign Up,2025-01-03
U100766,Verify Email,2025-01-03
U100766,Complete Onboarding,2025-01-05
U100766,Create First Workflow,2025-01-05
U100766,Invite Teammate,2025-01-04
U100766,Start Trial,2025-01-06
U100766,Subscribe,2025-01-09
U107013,Visit Landing Page,2025-01-03
U107013,Sign Up,2025-01-02
U106042,Visit Landing Page,2025-01-03
U106042,Sign Up,2025-01-03
U106042,Verify Email,2025-01-04
U106042,Complete Onboarding,2025-01-06
U106042,Create First Workflow,2025-01-07
U106042,Invite Teammate,2025-01-07
U100423,Visit Landing Page,2025-01-03
U100423,Sign Up,2025-01-03
U100423,Verify Email,2025-01-05
U103439,Visit Landing Page,2025-01-02
U103439,Sign Up,2025-01-04
U103439,Verify Email,2025-01-02
U103439,Complete Onboarding,2025-01-06
U108500,Visit Landing Page,2025-01-03
U108500,Sign Up,2025-01-02
U103463,Visit Landing Page,2025-01-03
U103463,Sign Up,2025-01-03
U103463,Verify Email,2025-01-05
U103463,Complete Onboarding,2025-01-06
U103463,Create First Workflow,2025-01-02
U101101,Visit Landing Page,2025-01-03
U101101,Sign Up,2025-01-04
U101101,Verify Email,2025-01-05
U101101,Complete Onboarding,2025-01-04
U101101,Create First Workflow,2025-01-06
U102384,Visit Landing Page,2025-01-02
U102384,Sign Up,2025-01-04
U102384,Verify Email,2025-01-02
U102384,Complete Onboarding,2025-01-05
U102384,Create First Workflow,2025-01-07
U102384,Invite Teammate,2025-01-08
U102384,Start Trial,2025-01-07
U108077,Visit Landing Page,2025-01-03
U108077,Sign Up,2025-01-04
U108077,Verify Email,2025-01-05
U100052,Visit Landing Page,2025-01-03
U100052,Sign Up,2025-01-03
U102299,Visit Landing Page,2025-01-02
U102299,Sign Up,2025-01-02
U102299,Verify Email,2025-01-05
U101323,Visit Landing Page,2025-01-02
U101323,Sign Up,2025-01-04
U101323,Verify Email,2025-01-04
U103996,Visit Landing Page,2025-01-04
U103996,Sign Up,2025-01-04
U102940,Visit Landing Page,2025-01-03
U102940,Sign Up,2025-01-03
U102940,Verify Email,2025-01-05
U102940,Complete Onboarding,2025-01-07
U102115,Visit Landing Page,2025-01-03
U102115,Sign Up,2025-01-04
U107406,Visit Landing Page,2025-01-03
U107406,Sign Up,2025-01-03
U107406,Verify Email,2025-01-04
U107406,Complete Onboarding,2025-01-07
U107406,Create First Workflow,2025-01-08
U107406,Invite Teammate,2025-01-09
U107406,Start Trial,2025-01-06
U102958,Visit Landing Page,2025-01-04
U102958,Sign Up,2025-01-05
U102958,Verify Email,2025-01-04
U104418,Visit Landing Page,2025-01-03
U104418,Sign Up,2025-01-04
U104418,Verify Email,2025-01-04
U104418,Complete Onboarding,2025-01-03
U104418,Create First Workflow,2025-01-04
U106013,Visit Landing Page,2025-01-03
U106013,Sign Up,2025-01-03
U106013,Verify Email,2025-01-06
U101911,Visit Landing Page,2025-01-03
U101911,Sign Up,2025-01-04
U106073,Visit Landing Page,2025-01-04
U106073,Sign Up,2025-01-05
U106073,Verify Email,2025-01-05
U106073,Complete Onboarding,2025-01-07
U106073,Create First Workflow,2025-01-06
U106496,Visit Landing Page,2025-01-03
U106496,Sign Up,2025-01-03
U106496,Verify Email,2025-01-05
U101952,Visit Landing Page,2025-01-04
U101952,Sign Up,2025-01-03
U101952,Verify Email,2025-01-03
U101952,Complete Onboarding,2025-01-07
U101952,Create First Workflow,2025-01-06
U101952,Invite Teammate,2025-01-07
U101952,Start Trial,2025-01-03
U104305,Visit Landing Page,2025-01-04
U104305,Sign Up,2025-01-03
U104305,Verify Email,2025-01-06
U103321,Visit Landing Page,2025-01-03
U103321,Sign Up,2025-01-04
U103321,Verify Email,2025-01-06
U103321,Complete Onboarding,2025-01-06
U103321,Create First Workflow,2025-01-05
U103321,Invite Teammate,2025-01-07
U102394,Visit Landing Page,2025-01-03
U102394,Sign Up,2025-01-05
U102394,Verify Email,2025-01-06
U102394,Complete Onboarding,2025-01-07
U107392,Visit Landing Page,2025-01-04
U107392,Sign Up,2025-01-05
U107392,Verify Email,2025-01-06
U100535,Visit Landing Page,2025-01-04
U100535,Sign Up,2025-01-04
U100535,Verify Email,2025-01-03
U107100,Visit Landing Page,2025-01-04
U107100,Sign Up,2025-01-05
U107100,Verify Email,2025-01-03
U100205,Visit Landing Page,2025-01-04
U100205,Sign Up,2025-01-04
U100205,Verify Email,2025-01-03
U106898,Visit Landing Page,2025-01-04
U106898,Sign Up,2025-01-04
U100841,Visit Landing Page,2025-01-03
U100841,Sign Up,2025-01-03
U100841,Verify Email,2025-01-03
U105625,Visit Landing Page,2025-01-03
U105625,Sign Up,2025-01-05
U105625,Verify Email,2025-01-04
U105625,Complete Onboarding,2025-01-07
U105625,Create First Workflow,2025-01-03
U105305,Visit Landing Page,2025-01-04
U105305,Sign Up,2025-01-03
U105305,Verify Email,2025-01-03
U105305,Complete Onboarding,2025-01-06
U106610,Visit Landing Page,2025-01-03
U106610,Sign Up,2025-01-03
U106610,Verify Email,2025-01-05
U106610,Complete Onboarding,2025-01-07
U100395,Visit Landing Page,2025-01-04
U100395,Sign Up,2025-01-03
U100395,Verify Email,2025-01-06
U107435,Visit Landing Page,2025-01-04
U107435,Sign Up,2025-01-04
U107435,Verify Email,2025-01-03
U107435,Complete Onboarding,2025-01-06
U107435,Create First Workflow,2025-01-04
U107435,Invite Teammate,2025-01-05
U107435,Start Trial,2025-01-07
U107435,Subscribe,2025-01-09
U102023,Visit Landing Page,2025-01-04
U102023,Sign Up,2025-01-05
U102023,Verify Email,2025-01-03
U102719,Visit Landing Page,2025-01-03
U102719,Sign Up,2025-01-03
U107974,Visit Landing Page,2025-01-03
U107974,Sign Up,2025-01-05
U107974,Verify Email,2025-01-03
U107974,Complete Onboarding,2025-01-05
U107974,Create First Workflow,2025-01-08
U106625,Visit Landing Page,2025-01-04
U106625,Sign Up,2025-01-05
U106625,Verify Email,2025-01-03
U106625,Complete Onboarding,2025-01-03
U107062,Visit Landing Page,2025-01-04
U107062,Sign Up,2025-01-05
U107062,Verify Email,2025-01-04
U102539,Visit Landing Page,2025-01-03
U102539,Sign Up,2025-01-05
U102539,Verify Email,2025-01-04
U102539,Complete Onboarding,2025-01-03
U102539,Create First Workflow,2025-01-03
U102539,Invite Teammate,2025-01-04
U104838,Visit Landing Page,2025-01-04
U104838,Sign Up,2025-01-05
U104838,Verify Email,2025-01-04
U104838,Complete Onboarding,2025-01-03
U104838,Create First Workflow,2025-01-03
U103218,Visit Landing Page,2025-01-04
U103218,Sign Up,2025-01-04
U103218,Verify Email,2025-01-04
U103377,Visit Landing Page,2025-01-04
U103377,Sign Up,2025-01-04
U103377,Verify Email,2025-01-04
U103377,Complete Onboarding,2025-01-05
U103377,Create First Workflow,2025-01-04
U104222,Visit Landing Page,2025-01-04
U104222,Sign Up,2025-01-03
U104222,Verify Email,2025-01-06
U104222,Complete Onboarding,2025-01-07
U104222,Create First Workflow,2025-01-07
U104222,Invite Teammate,2025-01-05
U103801,Visit Landing Page,2025-01-05
U103801,Sign Up,2025-01-04
U103801,Verify Email,2025-01-04
U105961,Visit Landing Page,2025-01-05
U105961,Sign Up,2025-01-05
U100797,Visit Landing Page,2025-01-04
U100797,Sign Up,2025-01-04
U100797,Verify Email,2025-01-04
U100797,Complete Onboarding,2025-01-04
U100797,Create First Workflow,2025-01-06
U100797,Invite Teammate,2025-01-10
U100812,Visit Landing Page,2025-01-05
U100812,Sign Up,2025-01-06
U100812,Verify Email,2025-01-06
U100812,Complete Onboarding,2025-01-04
U100812,Create First Workflow,2025-01-05
U100812,Invite Teammate,2025-01-08
U100812,Start Trial,2025-01-04
U100812,Subscribe,2025-01-11
U103532,Visit Landing Page,2025-01-05
U103532,Sign Up,2025-01-05
U103532,Verify Email,2025-01-04
U100826,Visit Landing Page,2025-01-05
U100826,Sign Up,2025-01-05
U100826,Verify Email,2025-01-05
U100826,Complete Onboarding,2025-01-08
U100826,Create First Workflow,2025-01-04
U100826,Invite Teammate,2025-01-04
U102052,Visit Landing Page,2025-01-05
U102052,Sign Up,2025-01-04
U106751,Visit Landing Page,2025-01-05
U106751,Sign Up,2025-01-04
U106751,Verify Email,2025-01-06
U104337,Visit Landing Page,2025-01-05
U104337,Sign Up,2025-01-05
U104337,Verify Email,2025-01-05
U104337,Complete Onboarding,2025-01-08
U100683,Visit Landing Page,2025-01-04
U100683,Sign Up,2025-01-06
U106601,Visit Landing Page,2025-01-05
U106601,Sign Up,2025-01-06
U106601,Verify Email,2025-01-06
U106601,Complete Onboarding,2025-01-06
U106601,Create First Workflow,2025-01-09
U106601,Invite Teammate,2025-01-07
U106601,Start Trial,2025-01-09
U106601,Subscribe,2025-01-06
U101568,Visit Landing Page,2025-01-05
U101568,Sign Up,2025-01-05
U101568,Verify Email,2025-01-05
U101568,Complete Onboarding,2025-01-05
U101568,Create First Workflow,2025-01-08
U105662,Visit Landing Page,2025-01-05
U105662,Sign Up,2025-01-06
U105662,Verify Email,2025-01-07
U105662,Complete Onboarding,2025-01-05
U105662,Create First Workflow,2025-01-06
U105686,Visit Landing Page,2025-01-05
U105686,Sign Up,2025-01-04
U105686,Verify Email,2025-01-06
U105686,Complete Onboarding,2025-01-05
U105686,Create First Workflow,2025-01-07
U105686,Invite Teammate,2025-01-08
U104816,Visit Landing Page,2025-01-04
U104816,Sign Up,2025-01-06
U104816,Verify Email,2025-01-06
U104792,Visit Landing Page,2025-01-05
U104792,Sign Up,2025-01-04
U104792,Verify Email,2025-01-05
U104792,Complete Onboarding,2025-01-04
U102571,Visit Landing Page,2025-01-04
U102571,Sign Up,2025-01-04
U102571,Verify Email,2025-01-07
U102571,Complete Onboarding,2025-01-05
U102571,Create First Workflow,2025-01-08
U102571,Invite Teammate,2025-01-09
U100519,Visit Landing Page,2025-01-04
U100519,Sign Up,2025-01-05
U104501,Visit Landing Page,2025-01-05
U104501,Sign Up,2025-01-06
U104501,Verify Email,2025-01-07
U104501,Complete Onboarding,2025-01-04
U104501,Create First Workflow,2025-01-05
U106827,Visit Landing Page,2025-01-05
U106827,Sign Up,2025-01-05
U106827,Verify Email,2025-01-04
U106827,Complete Onboarding,2025-01-08
U106827,Create First Workflow,2025-01-04
U106827,Invite Teammate,2025-01-10
U106827,Start Trial,2025-01-11
U101929,Visit Landing Page,2025-01-04
U101929,Sign Up,2025-01-04
U101929,Verify Email,2025-01-05
U101949,Visit Landing Page,2025-01-04
U101949,Sign Up,2025-01-06
U101949,Verify Email,2025-01-06
U101949,Complete Onboarding,2025-01-06
U101949,Create First Workflow,2025-01-05
U101949,Invite Teammate,2025-01-05
U101949,Start Trial,2025-01-05
U101949,Subscribe,2025-01-11
U107867,Visit Landing Page,2025-01-05
U107867,Sign Up,2025-01-05
U108481,Visit Landing Page,2025-01-05
U108481,Sign Up,2025-01-06
U108481,Verify Email,2025-01-05
U108481,Complete Onboarding,2025-01-08
U108481,Create First Workflow,2025-01-06
U108481,Invite Teammate,2025-01-07
U108481,Start Trial,2025-01-11
U100239,Visit Landing Page,2025-01-04
U100239,Sign Up,2025-01-05
U106411,Visit Landing Page,2025-01-05
U106411,Sign Up,2025-01-04
U106411,Verify Email,2025-01-04
U106411,Complete Onboarding,2025-01-08
U105572,Visit Landing Page,2025-01-04
U105572,Sign Up,2025-01-06
U105572,Verify Email,2025-01-06
U105572,Complete Onboarding,2025-01-08
U105572,Create First Workflow,2025-01-07
U105572,Invite Teammate,2025-01-08
U105572,Start Trial,2025-01-05
U103071,Visit Landing Page,2025-01-05
U103071,Sign Up,2025-01-05
U103071,Verify Email,2025-01-04
U107579,Visit Landing Page,2025-01-05
U107579,Sign Up,2025-01-04
U106737,Visit Landing Page,2025-01-04
U106737,Sign Up,2025-01-04
U102534,Visit Landing Page,2025-01-05
U102534,Sign Up,2025-01-06
U102534,Verify Email,2025-01-06
U102534,Complete Onboarding,2025-01-04
U102534,Create First Workflow,2025-01-08
U105853,Visit Landing Page,2025-01-06
U105853,Sign Up,2025-01-05
U105853,Verify Email,2025-01-07
U105853,Complete Onboarding,2025-01-08
U105853,Create First Workflow,2025-01-06
U105853,Invite Teammate,2025-01-05
U103805,Visit Landing Page,2025-01-05
U103805,Sign Up,2025-01-07
U103805,Verify Email,2025-01-07
U108349,Visit Landing Page,2025-01-06
U108349,Sign Up,2025-01-07
U108349,Verify Email,2025-01-07
U108349,Complete Onboarding,2025-01-08
U108349,Create First Workflow,2025-01-09
U102031,Visit Landing Page,2025-01-05
U102031,Sign Up,2025-01-05
U102031,Verify Email,2025-01-05
U102031,Complete Onboarding,2025-01-06
U102031,Create First Workflow,2025-01-09
U103879,Visit Landing Page,2025-01-05
U103879,Sign Up,2025-01-06
U103879,Verify Email,2025-01-07
U104859,Visit Landing Page,2025-01-05
U104859,Sign Up,2025-01-05
U104859,Verify Email,2025-01-08
U104859,Complete Onboarding,2025-01-09
U104859,Create First Workflow,2025-01-08
U102873,Visit Landing Page,2025-01-06
U102873,Sign Up,2025-01-05
U102873,Verify Email,2025-01-08
U107273,Visit Landing Page,2025-01-05
U107273,Sign Up,2025-01-07
U107273,Verify Email,2025-01-08
U107264,Visit Landing Page,2025-01-05
U107264,Sign Up,2025-01-05
U107264,Verify Email,2025-01-08
U107264,Complete Onboarding,2025-01-07
U104136,Visit Landing Page,2025-01-06
U104136,Sign Up,2025-01-06
U104136,Verify Email,2025-01-05
U104136,Complete Onboarding,2025-01-06
U101902,Visit Landing Page,2025-01-05
U101902,Sign Up,2025-01-05
U101902,Verify Email,2025-01-06
U101902,Complete Onboarding,2025-01-05
U108446,Visit Landing Page,2025-01-06
U108446,Sign Up,2025-01-06
U108446,Verify Email,2025-01-05
U108446,Complete Onboarding,2025-01-09
U107520,Visit Landing Page,2025-01-06
U107520,Sign Up,2025-01-06
U107520,Verify Email,2025-01-07
U107520,Complete Onboarding,2025-01-09
U107520,Create First Workflow,2025-01-09
U104167,Visit Landing Page,2025-01-05
U104167,Sign Up,2025-01-07
U104167,Verify Email,2025-01-06
U104167,Complete Onboarding,2025-01-05
U107170,Visit Landing Page,2025-01-05
U107170,Sign Up,2025-01-07
U107170,Verify Email,2025-01-05
U104450,Visit Landing Page,2025-01-06
U104450,Sign Up,2025-01-07
U104450,Verify Email,2025-01-07
U102350,Visit Landing Page,2025-01-06
U102350,Sign Up,2025-01-06
U104403,Visit Landing Page,2025-01-06
U104403,Sign Up,2025-01-06
U104403,Verify Email,2025-01-07
U104403,Complete Onboarding,2025-01-09
U106641,Visit Landing Page,2025-01-06
U106641,Sign Up,2025-01-06
U106641,Verify Email,2025-01-06
U106641,Complete Onboarding,2025-01-09
U104248,Visit Landing Page,2025-01-06
U104248,Sign Up,2025-01-06
U104248,Verify Email,2025-01-07
U106489,Visit Landing Page,2025-01-05
U106489,Sign Up,2025-01-07
U106489,Verify Email,2025-01-08
U106489,Complete Onboarding,2025-01-09
U108201,Visit Landing Page,2025-01-05
U108201,Sign Up,2025-01-06
U108201,Verify Email,2025-01-07
U108201,Complete Onboarding,2025-01-08
U108201,Create First Workflow,2025-01-08
U101894,Visit Landing Page,2025-01-06
U101894,Sign Up,2025-01-07
U101894,Verify Email,2025-01-06
U101894,Complete Onboarding,2025-01-09
U101894,Create First Workflow,2025-01-09
U101894,Invite Teammate,2025-01-05
U101894,Start Trial,2025-01-12
U103793,Visit Landing Page,2025-01-05
U103793,Sign Up,2025-01-06
U103793,Verify Email,2025-01-08
U103793,Complete Onboarding,2025-01-07
U102038,Visit Landing Page,2025-01-06
U102038,Sign Up,2025-01-07
U102038,Verify Email,2025-01-08
U102038,Complete Onboarding,2025-01-08
U102038,Create First Workflow,2025-01-06
U102038,Invite Teammate,2025-01-08
U102038,Start Trial,2025-01-12
U102038,Subscribe,2025-01-05
U100270,Visit Landing Page,2025-01-06
U100270,Sign Up,2025-01-05
U105499,Visit Landing Page,2025-01-05
U105499,Sign Up,2025-01-06
U105499,Verify Email,2025-01-07
U105499,Complete Onboarding,2025-01-05
U103459,Visit Landing Page,2025-01-05
U103459,Sign Up,2025-01-07
U100150,Visit Landing Page,2025-01-06
U100150,Sign Up,2025-01-06
U101069,Visit Landing Page,2025-01-06
U101069,Sign Up,2025-01-06
U101069,Verify Email,2025-01-06
U101069,Complete Onboarding,2025-01-08
