purchase_date,revenue,paying_users,mrr
2025-04-21,714,16,11837.0
2025-04-22,402,8,11856.0
2025-04-23,57,3,11837.0
2025-04-24,967,13,12213.0
2025-04-25,137,3,12272.0
2025-04-26,272,8,12350.0
2025-04-27,310,10,12447.0
2025-04-28,364,6,12466.0
2025-04-29,1147,13,12842.0
2025-04-30,312,8,12939.0
2025-05-01,1045,15,13561.0
2025-05-02,620,10,13840.0
2025-05-03,499,11,13859.0
2025-05-04,333,7,13918.0
2025-05-05,305,5,14126.0
2025-05-06,343,7,14126.0
2025-05-07,333,7,14185.0
2025-05-08,799,11,14334.0
2025-05-09,580,10,14540.0
2025-05-10,478,12,14618.0
2025-05-11,369,11,14656.0
2025-05-12,468,12,14656.0
2025-05-13,740,10,14864.0
2025-05-14,560,10,14982.0
2025-05-15,596,14,15020.0
2025-05-16,667,13,15214.0
2025-05-17,501,9,15481.0
2025-05-18,625,15,15500.0
2025-05-19,723,17,15656.0
2025-05-20,390,10,15656.0
2025-05-21,773,17,15715.0
2025-05-22,362,8,15675.0
2025-05-23,135,5,15753.0
2025-05-24,967,13,15753.0
2025-05-25,137,3,15753.0
2025-05-26,213,7,15694.0
2025-05-27,350,10,15734.0
2025-05-28,364,6,15734.0
2025-05-29,1206,14,15793.0
2025-05-30,312,8,15793.0
2025-05-31,1253,17,16001.0
2025-06-01,620,10,16001.0
2025-06-02,539,11,16041.0
2025-06-03,274,6,15982.0
2025-06-04,383,7,16060.0
2025-06-05,402,8,16119.0
2025-06-06,392,8,16178.0
2025-06-07,856,14,16235.0
2025-06-08,956,14,16611.0
2025-06-09,535,15,16668.0
2025-06-10,537,13,16836.0
2025-06-11,546,14,16914.0
2025-06-12,799,11,16973.0
2025-06-13,579,11,16992.0
2025-06-14,596,14,16992.0
2025-06-15,785,15,17110.0
2025-06-16,541,9,17150.0
2025-06-17,457,13,16982.0
2025-06-18,950,20,17209.0
2025-06-19,468,12,17287.0
2025-06-20,733,17,17247.0
2025-06-21,480,10,17365.0
2025-06-22,135,5,17365.0
2025-06-23,1007,13,17405.0
2025-06-24,137,3,17405.0
2025-06-25,480,10,17672.0
2025-06-26,369,11,17691.0
2025-06-27,274,6,17601.0
2025-06-28,1206,14,17601.0
2025-06-29,371,9,17660.0
2025-06-30,1104,16,17511.0
2025-07-01,677,13,17568.0
2025-07-02,539,11,17568.0
2025-07-03,274,6,17568.0
2025-07-04,383,7,17568.0
2025-07-05,402,8,17568.0
2025-07-06,392,8,17568.0
2025-07-07,856,14,17568.0
2025-07-08,1145,15,17757.0
2025-07-09,367,13,17589.0
2025-07-10,615,15,17667.0
2025-07-11,605,15,17726.0
2025-07-12,799,11,17726.0
2025-07-13,558,12,17705.0
2025-07-14,556,14,17665.0
2025-07-15,920,20,17800.0
2025-07-16,541,9,17800.0
2025-07-17,476,14,17819.0
2025-07-18,1099,21,17968.0
2025-07-19,506,14,18006.0
2025-07-20,941,19,18214.0
2025-07-21,499,11,18233.0
2025-07-22,135,5,18233.0
2025-07-23,799,11,18025.0
2025-07-24,196,4,18084.0
2025-07-25,480,10,18084.0
2025-07-26,636,14,18351.0
2025-07-27,331,9,18408.0
2025-07-28,998,12,18200.0
2025-07-29,430,10,18259.0
2025-07-30,1220,20,18375.0
2025-07-31,320,10,18018.0
2025-08-01,480,10,17959.0
2025-08-02,255,5,17940.0
2025-08-03,532,8,18089.0
2025-08-04,461,9,18148.0
2025-08-05,392,8,18148.0
2025-08-06,856,14,18148.0
2025-08-07,1176,14,18179.0
2025-08-08,367,13,18179.0
2025-08-09,499,11,18063.0
2025-08-10,586,14,18044.0
2025-08-11,709,11,17954.0
2025-08-12,726,14,18122.0
2025-08-13,575,15,18141.0
2025-08-14,882,18,18103.0
2025-08-15,560,10,18122.0
2025-08-16,497,13,18143.0
2025-08-17,1248,22,18292.0
2025-08-18,546,14,18332.0
2025-08-19,941,19,18332.0
2025-08-20,480,10,18313.0
2025-08-21,154,6,18332.0
2025-08-22,818,12,18351.0
2025-08-23,196,4,18351.0
2025-08-24,461,9,18332.0
2025-08-25,636,14,18332.0
2025-08-26,480,10,18481.0
2025-08-27,1076,14,18559.0
2025-08-28,449,11,18578.0
2025-08-29,1220,20,18578.0
2025-08-30,339,11,18597.0
2025-08-31,442,8,18559.0
2025-09-01,293,7,18597.0
2025-09-02,681,9,18746.0
2025-09-03,312,8,18597.0
2025-09-04,541,9,18746.0
2025-09-05,558,12,18448.0
2025-09-06,1365,15,18637.0
2025-09-07,426,14,18696.0
2025-09-08,520,10,18717.0
2025-09-09,527,13,18658.0
2025-09-10,688,12,18637.0
2025-09-11,707,13,18618.0
2025-09-12,575,15,18618.0
2025-09-13,861,19,18597.0
2025-09-14,520,10,18557.0
2025-09-15,575,15,18635.0
2025-09-16,1208,22,18595.0
2025-09-17,527,13,18576.0
2025-09-18,941,19,18576.0
2025-09-19,480,10,18576.0
2025-09-20,246,4,18668.0
2025-09-21,799,11,18649.0
2025-09-22,196,4,18649.0
2025-09-23,402,8,18590.0
2025-09-24,506,14,18460.0
2025-09-25,480,10,18460.0
2025-09-26,778,12,18162.0
2025-09-27,449,11,18162.0
2025-09-28,1220,20,18162.0
2025-09-29,320,10,18143.0
2025-09-30,402,8,18103.0
2025-10-01,392,8,18202.0
2025-10-02,740,10,18261.0
2025-10-03,312,8,18261.0
2025-10-04,541,9,18261.0
2025-10-05,577,13,18280.0
2025-10-06,1216,14,18131.0
2025-10-07,485,15,18190.0
2025-10-08,480,10,18150.0
2025-10-09,508,12,18131.0
2025-10-10,688,12,18131.0
2025-10-11,707,13,18131.0
2025-10-12,653,17,18209.0
2025-10-13,821,19,18169.0
2025-10-14,541,9,18190.0
2025-10-15,613,17,18228.0
2025-10-16,1130,20,18150.0
2025-10-17,508,12,18131.0
2025-10-18,851,19,18041.0
2025-10-19,499,11,18060.0
2025-10-20,246,4,18060.0
2025-10-21,740,10,18001.0
2025-10-22,196,4,18001.0
2025-10-23,383,7,17982.0
2025-10-24,466,14,17942.0
2025-10-25,629,11,18091.0
2025-10-26,797,13,18110.0
2025-10-27,428,12,18089.0
2025-10-28,1220,20,18089.0
2025-10-29,360,10,18129.0
2025-10-30,402,8,18129.0
2025-10-31,333,7,18070.0
2025-11-01,759,11,18089.0
2025-11-02,312,8,18089.0
2025-11-03,560,10,18108.0
2025-11-04,518,12,18049.0
2025-11-05,1424,16,18257.0
2025-11-06,445,15,18217.0
2025-11-07,539,11,18276.0
2025-11-08,508,12,18276.0
2025-11-09,747,13,18335.0
2025-11-10,648,12,18276.0
2025-11-11,653,17,18276.0
2025-11-12,781,19,18236.0
2025-11-13,482,8,18177.0
2025-11-14,632,18,18196.0
2025-11-15,1052,18,18118.0
2025-11-16,508,12,18118.0
2025-11-17,870,20,18137.0
2025-11-18,421,9,18059.0
2025-11-19,246,4,18059.0
2025-11-20,837,13,18156.0
2025-11-21,196,4,18156.0
2025-11-22,383,7,18156.0
2025-11-23,485,15,18175.0
2025-11-24,629,11,18175.0
2025-11-25,797,13,18175.0
2025-11-26,447,13,18194.0
2025-11-27,1329,21,18303.0
2025-11-28,360,10,18303.0
2025-11-29,442,8,18343.0
2025-11-30,392,8,18402.0
2025-12-01,738,12,18381.0
2025-12-02,293,7,18362.0
2025-12-03,560,10,18362.0
2025-12-04,518,12,18362.0
2025-12-05,1126,14,18064.0
2025-12-06,426,14,18045.0
2025-12-07,629,11,18135.0
2025-12-08,546,14,18173.0
2025-12-09,629,11,18055.0
2025-12-10,707,13,18114.0
2025-12-11,653,17,18114.0
2025-12-12,743,17,18076.0
2025-12-13,541,9,18135.0
2025-12-14,632,18,18135.0
2025-12-15,1052,18,18135.0
2025-12-16,508,12,18135.0
2025-12-17,870,20,18135.0
2025-12-18,421,9,18135.0
2025-12-19,246,4,18135.0
2025-12-20,837,13,18135.0
2025-12-21,255,5,18194.0
2025-12-22,402,8,18213.0
2025-12-23,655,15,18383.0
2025-12-24,421,9,18175.0
2025-12-25,797,13,18175.0
2025-12-26,466,14,18194.0
2025-12-27,1289,21,18154.0
2025-12-28,341,9,18135.0
2025-12-29,560,10,18253.0
2025-12-30,600,10,18461.0
2025-12-31,589,11,18312.0
