activity_date,dau,sessions,avg_session_minutes,workflows_created,automations_run
2025-05-05,316,633,25.300284810126584,43,95
2025-05-06,297,619,27.03936026936027,35,86
2025-05-07,306,607,28.912875816993463,50,113
2025-05-08,314,610,24.412547770700638,43,113
2025-05-09,295,599,27.634881355932205,40,97
2025-05-10,201,431,27.50686567164179,25,68
2025-05-11,209,421,24.41995215311005,22,57
2025-05-12,324,633,25.940308641975307,39,115
2025-05-13,302,625,27.928278145695366,34,73
2025-05-14,299,614,29.05351170568562,36,76
2025-05-15,306,637,27.80777777777778,36,96
2025-05-16,326,650,25.952638036809816,41,108
2025-05-17,205,421,26.78458536585366,23,51
2025-05-18,206,419,26.36145631067961,30,76
2025-05-19,322,660,27.08586956521739,47,120
2025-05-20,310,619,26.40135483870968,50,119
2025-05-21,328,670,26.719359756097564,52,118
2025-05-22,278,536,24.70068345323741,45,115
2025-05-23,363,707,24.723884297520662,54,144
2025-05-24,210,415,27.541666666666668,27,56
2025-05-25,220,427,24.184272727272727,22,59
2025-05-26,336,693,27.813988095238095,35,92
2025-05-27,345,680,27.708695652173912,46,116
2025-05-28,315,594,25.883174603174602,43,100
2025-05-29,328,645,24.441280487804878,53,154
2025-05-30,322,621,25.671459627329188,42,98
2025-05-31,209,418,21.991674641148325,27,61
2025-06-01,213,422,25.504460093896714,21,53
2025-06-02,322,667,26.682795031055903,41,77
2025-06-03,316,641,25.63870253164557,53,145
2025-06-04,355,725,25.455408450704226,53,152
2025-06-05,339,691,27.32454277286136,37,80
2025-06-06,312,615,25.07650641025641,47,118
2025-06-07,223,428,22.724843049327355,35,86
2025-06-08,192,376,25.6771875,28,67
2025-06-09,316,604,24.669208860759493,41,76
2025-06-10,305,591,25.422819672131148,35,95
2025-06-11,339,668,26.939056047197642,46,109
2025-06-12,306,627,27.263039215686273,43,89
2025-06-13,339,685,28.149557522123896,51,132
2025-06-14,239,482,24.68560669456067,32,79
2025-06-15,230,437,24.89578260869565,28,61
2025-06-16,353,719,28.40915014164306,58,148
2025-06-17,308,618,26.48090909090909,39,116
2025-06-18,326,634,27.066073619631904,48,117
2025-06-19,322,709,30.486273291925464,51,122
2025-06-20,328,647,26.384878048780486,36,93
2025-06-21,225,469,26.3444,29,76
2025-06-22,219,455,25.705296803652967,31,89
2025-06-23,294,586,25.895782312925167,41,92
2025-06-24,342,682,26.644795321637428,50,111
2025-06-25,334,631,23.705299401197603,39,94
2025-06-26,331,679,26.708489425981874,34,88
2025-06-27,330,645,24.88109090909091,43,118
2025-06-28,224,413,22.792857142857144,30,79
2025-06-29,212,424,25.843349056603774,18,48
2025-06-30,340,651,26.035411764705884,50,131
2025-07-01,365,741,26.78723287671233,50,93
2025-07-02,339,693,26.55150442477876,51,130
2025-07-03,347,681,24.58720461095101,62,148
2025-07-04,316,631,24.540632911392404,37,93
2025-07-05,236,468,25.109237288135592,29,68
2025-07-06,234,467,22.975726495726494,23,65
2025-07-07,332,632,25.262620481927712,37,81
2025-07-08,320,668,27.55415625,47,99
2025-07-09,346,674,26.776416184971097,42,114
2025-07-10,356,731,27.124915730337076,41,110
2025-07-11,367,774,28.38476839237057,54,127
2025-07-12,230,440,24.71926086956522,24,68
2025-07-13,216,412,24.01148148148148,23,59
2025-07-14,353,678,25.498555240793202,47,130
2025-07-15,333,672,28.40627627627628,44,98
2025-07-16,343,659,25.252274052478136,42,120
2025-07-17,335,701,26.67155223880597,47,104
2025-07-18,351,719,27.38242165242165,52,147
2025-07-19,221,429,26.94533936651584,22,61
2025-07-20,210,434,25.325380952380954,37,108
2025-07-21,325,647,25.468707692307692,46,119
2025-07-22,324,646,26.96246913580247,53,127
2025-07-23,378,786,26.742301587301586,54,146
2025-07-24,331,661,25.216253776435046,53,125
2025-07-25,342,705,25.50342105263158,47,124
2025-07-26,220,430,23.602636363636364,27,52
2025-07-27,204,396,23.953676470588235,29,67
2025-07-28,320,652,26.09896875,41,82
2025-07-29,326,685,27.5270245398773,47,110
2025-07-30,304,581,24.289605263157895,39,88
2025-07-31,373,754,27.564584450402144,54,108
2025-08-01,326,685,28.218803680981594,25,76
2025-08-02,218,422,24.655458715596332,29,80
2025-08-03,224,439,25.303973214285715,32,77
2025-08-04,326,670,27.90128834355828,32,82
2025-08-05,325,686,27.47070769230769,44,124
2025-08-06,339,691,27.112094395280234,39,110
2025-08-07,354,733,27.675056497175138,46,115
2025-08-08,374,759,26.56601604278075,54,147
2025-08-09,205,389,21.224146341463413,25,53
2025-08-10,197,379,26.62959390862944,25,69
2025-08-11,313,647,25.87664536741214,44,112
2025-08-12,342,678,25.523567251461987,41,114
2025-08-13,318,643,27.914591194968555,40,98
2025-08-14,324,681,27.282530864197533,50,126
2025-08-15,354,720,26.167118644067795,36,96
2025-08-16,219,427,24.532739726027398,22,71
2025-08-17,235,477,25.484893617021275,34,91
2025-08-18,343,678,26.1198250728863,41,105
2025-08-19,333,634,23.638378378378377,29,63
2025-08-20,305,619,26.074819672131145,44,90
2025-08-21,329,670,27.575531914893617,51,113
2025-08-22,336,660,25.383690476190477,46,110
2025-08-23,231,469,27.234632034632035,24,61
2025-08-24,198,386,22.918080808080806,18,54
2025-08-25,330,659,25.955484848484847,34,84
2025-08-26,344,670,25.754273255813953,49,112
2025-08-27,334,674,27.00197604790419,39,100
2025-08-28,338,723,27.6392899408284,42,99
2025-08-29,309,638,25.722783171521037,41,114
2025-08-30,227,445,22.76735682819383,29,64
2025-08-31,242,519,29.257727272727273,29,69
2025-09-01,316,615,25.205474683544306,40,102
2025-09-02,318,597,23.956069182389935,38,114
2025-09-03,313,616,24.965175718849842,42,108
2025-09-04,336,658,23.058154761904763,31,81
2025-09-05,345,681,27.356289855072465,57,142
2025-09-06,210,420,26.529285714285713,31,60
2025-09-07,218,407,23.459908256880734,25,58
2025-09-08,340,663,25.108882352941176,44,102
2025-09-09,332,693,25.999759036144578,47,126
2025-09-10,349,678,27.872893982808023,40,87
2025-09-11,317,622,25.636876971608835,38,90
2025-09-12,352,707,25.147187499999998,41,108
2025-09-13,234,469,24.389700854700852,28,68
2025-09-14,224,404,24.643973214285715,25,63
2025-09-15,314,631,27.42710191082803,48,129
2025-09-16,277,581,30.956750902527077,42,116
2025-09-17,322,638,26.533757763975157,46,118
2025-09-18,309,634,26.082491909385112,33,75
2025-09-19,308,616,25.750194805194806,47,97
2025-09-20,215,411,22.42595348837209,30,59
2025-09-21,199,419,26.25748743718593,24,69
2025-09-22,362,708,27.069198895027622,49,134
2025-09-23,330,694,28.216363636363635,53,147
2025-09-24,317,681,29.728138801261828,41,98
2025-09-25,321,615,25.94411214953271,44,118
2025-09-26,312,624,26.113814102564103,44,100
2025-09-27,223,426,21.64789237668161,25,70
2025-09-28,220,446,25.295545454545458,34,65
2025-09-29,295,560,23.493186440677967,38,92
2025-09-30,333,659,25.76141141141141,50,139
2025-10-01,312,598,23.916858974358977,37,89
2025-10-02,306,618,23.940980392156863,30,88
2025-10-03,308,663,27.04538961038961,36,75
2025-10-04,219,449,24.691963470319635,22,52
2025-10-05,222,452,25.557342342342345,30,71
2025-10-06,319,703,31.048526645768025,43,98
2025-10-07,297,620,28.405757575757576,37,83
2025-10-08,319,658,26.50188087774295,36,76
2025-10-09,292,560,24.065787671232876,34,95
2025-10-10,283,573,26.006749116607775,44,111
2025-10-11,196,413,26.99326530612245,25,61
2025-10-12,193,379,26.611139896373057,23,65
2025-10-13,307,654,26.936384364820846,38,105
2025-10-14,318,693,27.620817610062893,52,125
2025-10-15,303,600,24.791353135313532,35,95
2025-10-16,272,549,25.103676470588233,31,79
2025-10-17,312,655,28.529903846153847,30,72
2025-10-18,206,411,25.71029126213592,26,67
2025-10-19,232,475,25.60573275862069,23,53
2025-10-20,305,651,28.30724590163934,44,112
2025-10-21,295,598,27.093220338983052,36,90
2025-10-22,300,602,27.015666666666664,34,86
2025-10-23,294,609,25.981088435374147,39,84
2025-10-24,303,605,25.616072607260726,44,99
2025-10-25,238,465,23.841638655462187,39,85
2025-10-26,216,407,23.27421296296296,24,57
2025-10-27,340,674,24.51055882352941,45,121
2025-10-28,324,655,27.147037037037034,39,100
2025-10-29,282,576,25.94304964539007,33,88
2025-10-30,306,628,26.71186274509804,38,88
2025-10-31,289,577,25.12401384083045,39,111
2025-11-01,237,482,23.989367088607597,29,78
2025-11-02,227,476,29.480220264317182,22,55
2025-11-03,285,583,26.323122807017544,25,78
2025-11-04,305,572,22.766196721311474,32,78
2025-11-05,302,586,28.25708609271523,27,74
2025-11-06,337,642,23.843649851632048,35,84
2025-11-07,315,620,26.19495238095238,49,114
2025-11-08,212,418,22.924386792452832,22,58
2025-11-09,218,444,24.73857798165138,24,67
2025-11-10,290,558,25.483896551724136,35,69
2025-11-11,325,658,26.72704615384615,37,86
2025-11-12,290,590,27.678310344827587,40,107
2025-11-13,290,586,27.406137931034483,36,77
2025-11-14,270,559,27.113814814814813,45,112
2025-11-15,198,403,23.481767676767678,21,43
2025-11-16,221,426,24.067692307692308,32,92
2025-11-17,245,507,26.841591836734693,42,121
2025-11-18,316,605,23.86506329113924,42,104
2025-11-19,298,608,27.10748322147651,26,66
2025-11-20,285,577,26.18101754385965,34,80
2025-11-21,312,621,23.91195512820513,46,116
2025-11-22,213,437,26.54300469483568,28,65
2025-11-23,204,380,22.72759803921569,19,55
2025-11-24,313,594,25.539009584664537,46,103
2025-11-25,304,622,27.53631578947368,39,103
2025-11-26,295,587,27.373898305084747,47,109
2025-11-27,282,567,26.245,38,98
2025-11-28,280,592,26.520071428571427,44,102
2025-11-29,215,409,24.686232558139533,21,49
2025-11-30,183,328,21.91786885245902,15,39
2025-12-01,299,594,23.90324414715719,34,82
2025-12-02,316,648,28.039525316455695,40,96
2025-12-03,246,480,23.54451219512195,26,76
2025-12-04,302,602,24.27933774834437,33,77
2025-12-05,330,692,28.649090909090912,28,85
2025-12-06,198,393,25.234595959595957,28,67
2025-12-07,199,401,23.67286432160804,31,74
2025-12-08,299,602,24.731739130434782,45,106
2025-12-09,283,581,26.16862190812721,32,78
2025-12-10,295,589,25.93864406779661,46,119
2025-12-11,283,538,23.899787985865725,42,109
2025-12-12,300,584,26.187466666666666,43,121
2025-12-13,189,364,23.16814814814815,17,42
2025-12-14,220,431,25.85890909090909,18,53
2025-12-15,271,539,27.012250922509224,28,81
2025-12-16,285,564,24.042070175438596,35,96
2025-12-17,317,616,26.08116719242902,40,87
2025-12-18,299,609,25.568394648829432,35,98
2025-12-19,299,585,23.647591973244147,43,103
2025-12-20,208,405,23.81528846153846,25,55
2025-12-21,193,361,23.284145077720208,34,93
2025-12-22,274,572,25.155693430656935,31,81
2025-12-23,313,651,27.284536741214055,38,92
2025-12-24,276,563,25.291485507246374,43,98
2025-12-25,283,578,26.21791519434629,37,88
2025-12-26,309,632,24.90935275080906,37,108
2025-12-27,212,411,24.438915094339624,23,60
2025-12-28,209,439,26.132248803827753,25,70
2025-12-29,304,584,24.505098684210527,41,114
2025-12-30,283,562,26.089257950530037,36,96
2025-12-31,265,523,25.166716981132076,34,61
